date,last,open,high,low,%change,volume,is_trading_day,sentiment_score,impact_score,has_news,medium_term_score,prominence,topic_regulatory_news,topic_ai_sector,topic_corporate_changes,topic_financial_performance,topic_investor_sentiment,topic_competition,topic_market_conditions,timeliness,confidence,topic_technology,short_term_score,relevance_score,direct_impact,target_mentioned,sentiment_label,day_of_week,day_of_month,month,year
2022-07-26,-1.8100244697031713,-1.8605477602559217,-1.853941736989702,-1.7800380443674504,0.7294116689539966,-0.08426640758852981,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.8333333333333334,0.5454545454545454,0.0
2022-07-27,-1.7245427584933706,-1.7985463688557308,-1.806967443315741,-1.7415915422203663,0.7943734572721828,0.13617360312401822,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8666666666666667,0.5454545454545454,0.0
2022-07-28,-1.7012462406314721,-1.690181105125309,-1.7600854370556775,-1.6571724537794812,0.2043038800486566,-0.00646405086645403,1,0.6164383561643836,0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.9,0.5454545454545454,0.0
2022-07-29,-1.7479309949295285,-1.690181105125309,-1.7679298672369874,-1.66487988935142,-0.4453140031332071,0.006503008587225266,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9333333333333333,0.5454545454545454,0.0
2022-08-01,-1.5692632122721342,-1.7444094607304905,-1.650724851586829,-1.6879115203546262,1.6551171524881523,0.6159548029101521,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.0
2022-08-02,-1.4216880262886906,-1.5662697698048687,-1.4787933994952975,-1.565045929766657,1.3248947285373716,0.9271642297984553,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.03333333333333333,0.6363636363636364,0.0
2022-08-03,-1.3750949905648937,-1.4655860943895147,-1.4553523963652657,-1.4114412726035426,0.39918924500321573,-0.25283818048636064,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.06666666666666668,0.6363636363636364,0.0
2022-08-04,-1.1421298119459091,-1.37267545476917,-1.220942365064949,-1.3039905531594516,2.028647435317724,1.666286618658175,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1,0.6363636363636364,0.0
2022-08-05,-1.1809267688576535,-1.179081139733471,-1.2287867952462588,-1.1734175269995433,-0.3424578382960787,0.34364655438288694,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13333333333333333,0.6363636363636364,0.0
2022-08-08,-1.1809267688576535,-1.179081139733471,-1.220942365064949,-1.1120300695618641,-0.01223541434529795,-0.3954758344768329,1,0.6164383561643836,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.6363636363636364,0.0
