date,last,open,high,low,%change,volume,is_trading_day,sentiment_score,impact_score,has_news,medium_term_score,prominence,topic_regulatory_news,topic_ai_sector,topic_corporate_changes,topic_financial_performance,topic_investor_sentiment,topic_competition,topic_market_conditions,timeliness,confidence,topic_technology,short_term_score,relevance_score,direct_impact,target_mentioned,sentiment_label,day_of_week,day_of_month,month,year
2020-09-10,-1.5394131158122455,-1.3187280446247907,-1.3662996205280427,-1.518860405998437,-1.8588715984743125,2.4420116414702076,1,0.451219512195122,0.7826086956521741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3,0.7272727272727273,0.0
2020-09-11,-1.5868948420524218,-1.5035765807846921,-1.534067003554491,-1.598780172809716,-0.7792610997858995,2.4077406286218195,1,0.451219512195122,0.5652173913043479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.7272727272727273,0.0
2020-09-14,-1.4798219560343058,-1.4987877586043836,-1.511782910932382,-1.5092700339810836,1.6069549255202857,1.4182562789353925,1,0.7256097560975611,0.7554347826086958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.7272727272727273,0.0
2020-09-15,-1.4740859085690492,-1.3835367714649633,-1.4194630986407881,-1.483376029534229,0.034599122302288905,2.4996161098749443,1,0.7560975609756099,0.7826086956521741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4666666666666667,0.7272727272727273,0.0
2020-09-16,-1.5827521411052925,-1.4825057631913352,-1.5095545016701712,-1.5335656430917122,-1.6872412115033342,1.7799248400588028,1,0.2682926829268293,0.23913043478260876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7272727272727273,0.0
2020-09-17,-1.6397939464542293,-1.658415164614661,-1.6305252901901912,-1.6400187724843363,-0.939818558565202,2.3384694324389086,1,0.451219512195122,0.5000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5333333333333333,0.7272727272727273,0.0
2020-09-18,-1.7513282027231003,-1.636705837397263,-1.6725467219918824,-1.7237746881025564,-1.8090434216117703,4.989976376857782,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5666666666666667,0.7272727272727273,0.0
2020-09-21,-1.6480793483484883,-1.823789157241308,-1.6945124704336754,-1.8193587292088464,1.6235643178077994,2.768680019259094,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7272727272727273,0.0
2020-09-22,-1.5929495588213034,-1.5639157402565764,-1.6095145742893457,-1.6256332144583059,0.8152405598154493,2.461213130938453,1,0.451219512195122,0.7826086956521741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7,0.7272727272727273,0.0
2020-09-23,-1.7424054622215905,-1.5977567503307553,-1.6333903878130338,-1.7020365115298888,-2.3737627593872483,1.675167346883944,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7333333333333333,0.7272727272727273,0.0
